NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES     ,2,"620,000","620,000","620,000","620,000"
ARVERNE                  ,01 ONE FAMILY HOMES     ,26,"200,000","431,848","306,000","941,881"
ARVERNE                  ,02 TWO FAMILY HOMES     ,114,"200,000","591,527","655,340","1,196,443"
ARVERNE                  ,03 THREE FAMILY HOMES   ,9,"253,500","365,677","360,000","617,500"
ASTORIA                  ,01 ONE FAMILY HOMES     ,47,"335,000","909,288","840,000","3,000,000"
ASTORIA                  ,02 TWO FAMILY HOMES     ,123,"215,000","992,868","930,000","3,300,000"
ASTORIA                  ,03 THREE FAMILY HOMES   ,52,"306,197","1,004,755","977,500","1,728,000"
BAYSIDE                  ,01 ONE FAMILY HOMES     ,290,"200,000","772,907","742,500","4,030,000"
BAYSIDE                  ,02 TWO FAMILY HOMES     ,103,"210,000","1,011,539","982,800","3,800,000"
BAYSIDE                  ,03 THREE FAMILY HOMES   ,19,"450,000","1,050,237","997,500","1,380,000"
BEECHHURST               ,01 ONE FAMILY HOMES     ,40,"350,000","884,953","834,000","2,200,000"
BEECHHURST               ,02 TWO FAMILY HOMES     ,2,"780,000","910,000","910,000","1,040,000"
BEECHHURST               ,03 THREE FAMILY HOMES   ,1,"1,244,000","1,244,000","1,244,000","1,244,000"
BELLE HARBOR             ,01 ONE FAMILY HOMES     ,34,"450,000","856,515","729,000","3,075,000"
BELLE HARBOR             ,02 TWO FAMILY HOMES     ,28,"325,000","692,572","655,000","1,400,000"
BELLE HARBOR             ,03 THREE FAMILY HOMES   ,3,"725,000","753,333","735,000","800,000"
BELLEROSE                ,01 ONE FAMILY HOMES     ,106,"205,000","492,754","486,750","775,000"
BELLEROSE                ,02 TWO FAMILY HOMES     ,23,"205,000","520,543","520,000","940,000"
BELLEROSE                ,03 THREE FAMILY HOMES   ,1,"825,000","825,000","825,000","825,000"
BRIARWOOD                ,01 ONE FAMILY HOMES     ,21,"243,750","523,079","510,000","760,000"
BRIARWOOD                ,02 TWO FAMILY HOMES     ,11,"460,000","799,727","720,000","1,700,000"
BRIARWOOD                ,03 THREE FAMILY HOMES   ,3,"675,000","743,333","690,000","865,000"
BROAD CHANNEL            ,01 ONE FAMILY HOMES     ,16,"205,000","333,254","298,943","560,029"
BROAD CHANNEL            ,02 TWO FAMILY HOMES     ,3,"200,000","355,000","400,000","465,000"
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES     ,83,"200,000","391,657","404,000","550,000"
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES     ,14,"210,000","362,893","375,000","530,000"
COLLEGE POINT            ,01 ONE FAMILY HOMES     ,78,"210,000","628,630","602,500","1,475,000"
COLLEGE POINT            ,02 TWO FAMILY HOMES     ,112,"400,000","724,189","729,500","1,600,000"
COLLEGE POINT            ,03 THREE FAMILY HOMES   ,15,"300,000","725,267","705,000","1,060,000"
CORONA                   ,01 ONE FAMILY HOMES     ,39,"209,000","557,086","540,000","995,000"
CORONA                   ,02 TWO FAMILY HOMES     ,101,"290,000","697,707","700,000","1,150,000"
CORONA                   ,03 THREE FAMILY HOMES   ,78,"205,000","819,910","802,500","5,000,000"
DOUGLASTON               ,01 ONE FAMILY HOMES     ,50,"625,000","974,527","940,000","1,550,000"
DOUGLASTON               ,02 TWO FAMILY HOMES     ,4,"850,000","956,250","965,000","1,045,000"
EAST ELMHURST            ,01 ONE FAMILY HOMES     ,47,"230,000","495,150","515,000","690,000"
