NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES     , 	4 ," 	220,000 "," 	253,760 "," 	252,520 "," 	290,000 "
BATHGATE                 ,02 TWO FAMILY HOMES     , 	15 ," 	240,000 "," 	443,767 "," 	470,000 "," 	680,000 "
BATHGATE                 ,03 THREE FAMILY HOMES   , 	5 ," 	350,000 "," 	417,200 "," 	390,000 "," 	545,000 "
BAYCHESTER               ,01 ONE FAMILY HOMES     , 	90 ," 	217,500 "," 	357,620 "," 	353,500 "," 	700,000 "
BAYCHESTER               ,02 TWO FAMILY HOMES     , 	104 ," 	203,000 "," 	430,514 "," 	433,190 "," 	789,000 "
BAYCHESTER               ,03 THREE FAMILY HOMES   , 	22 ," 	205,000 "," 	503,351 "," 	497,000 "," 	847,567 "
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES     , 	9 ," 	210,000 "," 	334,611 "," 	344,500 "," 	475,000 "
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES     , 	34 ," 	225,000 "," 	477,797 "," 	470,000 "," 	1,150,000 "
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES   , 	6 ," 	271,100 "," 	432,811 "," 	436,500 "," 	680,000 "
BELMONT                  ,02 TWO FAMILY HOMES     , 	19 ," 	270,000 "," 	455,824 "," 	419,000 "," 	930,000 "
BELMONT                  ,03 THREE FAMILY HOMES   , 	9 ," 	319,000 "," 	528,778 "," 	465,000 "," 	860,000 "
BRONX PARK               ,02 TWO FAMILY HOMES     , 	1 ," 	560,000 "," 	560,000 "," 	560,000 "," 	560,000 "
BRONXDALE                ,01 ONE FAMILY HOMES     , 	46 ," 	220,000 "," 	355,666 "," 	340,000 "," 	680,000 "
BRONXDALE                ,02 TWO FAMILY HOMES     , 	70 ," 	207,000 "," 	475,098 "," 	459,000 "," 	1,100,000 "
BRONXDALE                ,03 THREE FAMILY HOMES   , 	15 ," 	242,100 "," 	498,638 "," 	503,958 "," 	778,223 "
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES     , 	31 ," 	220,000 "," 	372,382 "," 	375,000 "," 	475,000 "
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES     , 	46 ," 	220,000 "," 	436,233 "," 	432,500 "," 	749,112 "
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES   , 	16 ," 	275,000 "," 	496,723 "," 	525,000 "," 	746,000 "
CITY ISLAND              ,01 ONE FAMILY HOMES     , 	29 ," 	200,000 "," 	473,828 "," 	405,000 "," 	1,030,000 "
CITY ISLAND              ,02 TWO FAMILY HOMES     , 	8 ," 	419,000 "," 	730,500 "," 	610,000 "," 	1,625,000 "
