NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,21,"610,000","969,762","778,000","1,850,000"
BATH BEACH               ,02 TWO FAMILY HOMES     ,51,"200,000","873,608","840,000","1,830,000"
BATH BEACH               ,03 THREE FAMILY HOMES   ,25,"299,317","1,170,333","1,140,000","2,600,000"
BAY RIDGE                ,01 ONE FAMILY HOMES     ,129,"260,000","1,011,475","875,000","4,400,000"
BAY RIDGE                ,02 TWO FAMILY HOMES     ,144,"237,500","1,017,987","967,000","2,416,000"
BAY RIDGE                ,03 THREE FAMILY HOMES   ,17,"200,000","1,013,159","1,130,000","1,350,000"
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,49,"205,000","954,976","800,000","2,950,000"
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,347,"200,000","971,514","900,000","2,800,000"
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,164,"200,000","1,037,107","975,000","2,325,000"
BENSONHURST              ,01 ONE FAMILY HOMES     ,46,"300,000","817,228","797,500","1,450,000"
BENSONHURST              ,02 TWO FAMILY HOMES     ,98,"200,500","919,249","944,000","1,650,000"
BENSONHURST              ,03 THREE FAMILY HOMES   ,33,"400,000","1,011,174","995,000","1,500,000"
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,40,"430,000","642,600","635,000","1,400,000"
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,37,"213,000","661,183","685,000","1,250,000"
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,14,"390,000","667,143","717,500","865,000"
BOERUM HILL              ,01 ONE FAMILY HOMES     ,11,"750,000","3,036,727","2,699,000","5,450,000"
BOERUM HILL              ,02 TWO FAMILY HOMES     ,15,"314,340","2,546,289","2,475,000","5,400,000"
BOERUM HILL              ,03 THREE FAMILY HOMES   ,4,"1,500,000","2,856,506","2,690,513","4,545,000"
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,57,"351,000","961,053","880,000","2,300,000"
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,184,"220,000","1,019,042","954,750","3,300,000"
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,71,"260,000","1,094,192","990,000","2,400,000"
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,15,"289,000","601,733","555,000","999,000"
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,19,"200,000","584,763","590,500","1,200,000"
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,13,"331,250","696,788","660,000","1,300,000"
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,4,"5,200,000","8,258,750","8,792,500","10,250,000"
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,6,"4,000,000","4,983,333","4,875,000","6,400,000"
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,2,"7,255,000","7,452,500","7,452,500","7,650,000"
BROOKLYN-UNKNOWN         ,01 ONE FAMILY HOMES     ,1,"11,500,000","11,500,000","11,500,000","11,500,000"
BROOKLYN-UNKNOWN         ,02 TWO FAMILY HOMES     ,1,"670,000","670,000","670,000","670,000"
