NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        ,90 ,"$187,642","$557,167","$445,000","$2,500,000"
ANNADALE                 ,02 TWO FAMILY HOMES                        ,51 ,"$164,500","$601,675","$559,019","$1,425,550"
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        ,163 ,"$160,000","$342,335","$324,450","$661,862"
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        ,12 ,"$189,000","$557,058","$494,850","$990,000"
ARDEN HEIGHTS            ,03 THREE FAMILY HOMES                      ,4 ,"$325,000","$325,000","$325,000","$325,000"
ARROCHAR                 ,01 ONE FAMILY HOMES                        ,29 ,"$325,000","$528,337","$457,000","$1,625,000"
ARROCHAR                 ,02 TWO FAMILY HOMES                        ,7 ,"$350,000","$510,071","$555,000","$625,500"
ARROCHAR                 ,03 THREE FAMILY HOMES                      ,3 ,"$515,000","$585,756","$565,618","$676,649"
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        ,8 ,"$310,000","$487,603","$370,550","$825,000"
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        ,3 ,"$360,000","$483,333","$390,000","$700,000"
BULLS HEAD               ,01 ONE FAMILY HOMES                        ,93 ,"$150,000","$394,317","$380,000","$975,000"
BULLS HEAD               ,02 TWO FAMILY HOMES                        ,52 ,"$250,000","$507,749","$499,450","$748,413"
BULLS HEAD               ,03 THREE FAMILY HOMES                      ,2 ,"$670,000","$687,569","$687,569","$705,138"
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        ,69 ,"$157,000","$447,579","$450,000","$825,000"
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        ,24 ,"$210,000","$470,550","$433,300","$809,508"
CLOVE LAKES              ,01 ONE FAMILY HOMES                        ,40 ,"$212,000","$477,169","$442,275","$965,000"
CLOVE LAKES              ,02 TWO FAMILY HOMES                        ,4 ,"$451,365","$594,019","$549,855","$825,000"
CLOVE LAKES              ,03 THREE FAMILY HOMES                      ,1 ,"$816,000","$816,000","$816,000","$816,000"
CONCORD                  ,01 ONE FAMILY HOMES                        ,52 ,"$160,000","$328,534","$324,150","$535,000"
CONCORD                  ,02 TWO FAMILY HOMES                        ,23 ,"$180,000","$425,262","$424,000","$925,000"
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        ,43 ,"$237,983","$333,095","$349,830","$390,390"
DONGAN HILLS             ,01 ONE FAMILY HOMES                        ,25 ,"$225,000","$509,688","$443,000","$875,695"
DONGAN HILLS             ,02 TWO FAMILY HOMES                        ,22 ,"$370,000","$544,610","$488,450","$850,000"
DONGAN HILLS             ,03 THREE FAMILY HOMES                      ,1 ,"$461,000","$461,000","$461,000","$461,000"
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        ,17 ,"$250,000","$669,682","$600,000","$1,215,000"
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        ,6 ,"$530,000","$698,667","$703,500","$850,000"
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES                        ,2 ,"$322,000","$523,500","$523,500","$725,000"
DONGAN HILLS-OLD TOWN    ,02 TWO FAMILY HOMES                        ,1 ,"$692,410","$692,410","$692,410","$692,410"
ELTINGVILLE              ,01 ONE FAMILY HOMES                        ,155 ,"$200,000","$453,765","$430,000","$1,550,000"
ELTINGVILLE              ,02 TWO FAMILY HOMES                        ,24 ,"$170,000","$539,715","$550,000","$783,034"
EMERSON HILL             ,01 ONE FAMILY HOMES                        ,10 ,"$825,500","$1,510,565","$1,450,000","$2,700,000"
EMERSON HILL             ,02 TWO FAMILY HOMES                        ,1 ,"$417,000","$417,000","$417,000","$417,000"
FRESH KILLS              ,01 ONE FAMILY HOMES                        ,1 ,"$670,000","$670,000","$670,000","$670,000"
GRANT CITY               ,01 ONE FAMILY HOMES                        ,51 ,"$215,000","$502,507","$470,000","$936,790"
GRANT CITY               ,02 TWO FAMILY HOMES                        ,16 ,"$432,600","$579,439","$569,500","$867,746"
