NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        ,76 ,"$152,131","$633,253","$539,571","$1,500,000"
ANNADALE                 ,02 TWO FAMILY HOMES                        ,31 ,"$354,900","$803,263","$730,000","$2,000,000"
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        ,200 ,"$175,000","$345,684","$328,000","$1,675,000"
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        ,14 ,"$476,478","$629,748","$557,500","$910,000"
ARROCHAR                 ,01 ONE FAMILY HOMES                        ,24 ,"$300,000","$512,509","$474,500","$1,262,330"
ARROCHAR                 ,02 TWO FAMILY HOMES                        ,10 ,"$274,500","$555,915","$526,827","$860,000"
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        ,5 ,"$320,000","$519,722","$492,297","$745,000"
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        ,6 ,"$349,500","$438,356","$432,500","$533,495"
BLOOMFIELD               ,01 ONE FAMILY HOMES                        ,1 ,"$900,000","$900,000","$900,000","$900,000"
BULLS HEAD               ,01 ONE FAMILY HOMES                        ,117 ,"$175,000","$373,452","$375,000","$825,000"
BULLS HEAD               ,02 TWO FAMILY HOMES                        ,90 ,"$325,000","$499,680","$476,000","$750,000"
BULLS HEAD               ,03 THREE FAMILY HOMES                      ,4 ,"$370,000","$536,000","$527,000","$720,000"
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        ,77 ,"$150,000","$478,857","$475,000","$999,000"
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        ,32 ,"$245,000","$533,687","$521,850","$840,000"
CLOVE LAKES              ,01 ONE FAMILY HOMES                        ,51 ,"$200,000","$513,878","$473,000","$1,195,000"
CLOVE LAKES              ,02 TWO FAMILY HOMES                        ,7 ,"$390,000","$608,055","$569,000","$777,943"
CONCORD                  ,01 ONE FAMILY HOMES                        ,55 ,"$150,000","$305,539","$300,000","$490,000"
CONCORD                  ,02 TWO FAMILY HOMES                        ,19 ,"$205,000","$396,269","$405,000","$600,666"
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        ,41 ,"$185,600","$321,661","$328,000","$417,565"
DONGAN HILLS             ,01 ONE FAMILY HOMES                        ,40 ,"$180,000","$500,438","$473,750","$855,000"
DONGAN HILLS             ,02 TWO FAMILY HOMES                        ,14 ,"$200,000","$556,285","$562,500","$814,600"
DONGAN HILLS             ,03 THREE FAMILY HOMES                      ,1 ,"$520,000","$520,000","$520,000","$520,000"
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        ,24 ,"$365,000","$652,254","$637,500","$1,200,000"
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        ,5 ,"$463,000","$678,600","$615,000","$875,000"
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES                        ,8 ,"$194,500","$328,810","$325,000","$435,000"
ELTINGVILLE              ,01 ONE FAMILY HOMES                        ,166 ,"$180,000","$463,597","$453,500","$1,100,000"
ELTINGVILLE              ,02 TWO FAMILY HOMES                        ,46 ,"$442,000","$611,423","$587,240","$999,999"
EMERSON HILL             ,01 ONE FAMILY HOMES                        ,8 ,"$695,000","$1,008,750","$990,000","$1,300,000"
EMERSON HILL             ,02 TWO FAMILY HOMES                        ,3 ,"$375,000","$555,333","$626,000","$665,000"
FRESH KILLS              ,01 ONE FAMILY HOMES                        ,2 ,"$320,000","$343,750","$343,750","$367,500"
FRESH KILLS              ,02 TWO FAMILY HOMES                        ,1 ,"$495,000","$495,000","$495,000","$495,000"
GRANT CITY               ,01 ONE FAMILY HOMES                        ,52 ,"$150,000","$480,971","$460,000","$975,000"
GRANT CITY               ,02 TWO FAMILY HOMES                        ,11 ,"$400,530","$569,782","$524,700","$999,000"
GRASMERE                 ,01 ONE FAMILY HOMES                        ,50 ,"$159,000","$495,455","$457,500","$950,000"
GRASMERE                 ,02 TWO FAMILY HOMES                        ,7 ,"$244,000","$564,000","$665,000","$719,000"
GREAT KILLS              ,01 ONE FAMILY HOMES                        ,306 ,"$150,000","$461,347","$439,066","$1,945,000"
GREAT KILLS              ,02 TWO FAMILY HOMES                        ,86 ,"$176,000","$585,100","$574,000","$1,150,000"
GREAT KILLS-BAY TERRACE  ,01 ONE FAMILY HOMES                        ,29 ,"$212,326","$469,804","$448,000","$805,000"
GREAT KILLS-BAY TERRACE  ,02 TWO FAMILY HOMES                        ,10 ,"$540,000","$646,450","$639,900","$715,000"
GRYMES HILL              ,01 ONE FAMILY HOMES                        ,20 ,"$187,500","$798,852","$567,500","$2,100,000"
GRYMES HILL              ,02 TWO FAMILY HOMES                        ,14 ,"$330,000","$500,836","$462,500","$840,000"
HUGUENOT                 ,01 ONE FAMILY HOMES                        ,54 ,"$175,000","$577,080","$527,000","$1,492,500"
HUGUENOT                 ,02 TWO FAMILY HOMES                        ,36 ,"$276,000","$731,973","$721,296","$1,145,000"
LIVINGSTON               ,01 ONE FAMILY HOMES                        ,20 ,"$261,000","$446,690","$422,500","$690,000"
LIVINGSTON               ,02 TWO FAMILY HOMES                        ,7 ,"$358,000","$449,321","$430,000","$550,000"
LIVINGSTON               ,03 THREE FAMILY HOMES                      ,1 ,"$490,000","$490,000","$490,000","$490,000"
MANOR HEIGHTS            ,01 ONE FAMILY HOMES                        ,79 ,"$170,000","$471,322","$442,900","$1,221,900"
MANOR HEIGHTS            ,02 TWO FAMILY HOMES                        ,19 ,"$282,500","$544,446","$571,000","$735,000"
MANOR HEIGHTS            ,03 THREE FAMILY HOMES                      ,1 ,"$510,000","$510,000","$510,000","$510,000"
MARINERS HARBOR          ,01 ONE FAMILY HOMES                        ,135 ,"$165,000","$338,863","$330,000","$715,000"
MARINERS HARBOR          ,02 TWO FAMILY HOMES                        ,116 ,"$205,000","$432,217","$433,300","$800,000"
MARINERS HARBOR          ,03 THREE FAMILY HOMES                      ,4 ,"$430,000","$475,000","$460,000","$550,000"
MIDLAND BEACH            ,01 ONE FAMILY HOMES                        ,179 ,"$160,000","$394,702","$410,000","$1,040,000"
MIDLAND BEACH            ,02 TWO FAMILY HOMES                        ,34 ,"$150,000","$546,062","$577,857","$820,000"
MIDLAND BEACH            ,03 THREE FAMILY HOMES                      ,1 ,"$905,000","$905,000","$905,000","$905,000"
NEW BRIGHTON             ,01 ONE FAMILY HOMES                        ,63 ,"$155,000","$348,842","$350,000","$615,000"
NEW BRIGHTON             ,02 TWO FAMILY HOMES                        ,80 ,"$162,950","$411,069","$410,589","$655,000"
NEW BRIGHTON             ,03 THREE FAMILY HOMES                      ,18 ,"$302,100","$494,394","$496,500","$650,000"
NEW BRIGHTON-ST. GEORGE  ,01 ONE FAMILY HOMES                        ,2 ,"$675,000","$687,500","$687,500","$700,000"
NEW BRIGHTON-ST. GEORGE  ,03 THREE FAMILY HOMES                      ,1 ,"$600,000","$600,000","$600,000","$600,000"
NEW DORP                 ,01 ONE FAMILY HOMES                        ,84 ,"$203,868","$471,192","$475,000","$690,000"
