NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES     ,46 ,"$162,750","$576,053","$520,000","$996,500"
ANNADALE                 ,02 TWO FAMILY HOMES     ,22 ,"$400,000","$722,139","$665,000","$1,210,000"
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES     ,105 ,"$190,000","$313,686","$310,000","$610,950"
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES     ,13 ,"$344,760","$590,955","$590,000","$850,000"
ARDEN HEIGHTS            ,03 THREE FAMILY HOMES   ,1 ,"$283,975","$283,975","$283,975","$283,975"
ARROCHAR                 ,01 ONE FAMILY HOMES     ,11 ,"$240,000","$418,465","$365,000","$895,000"
ARROCHAR                 ,02 TWO FAMILY HOMES     ,3 ,"$220,000","$355,833","$247,500","$600,000"
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES     ,5 ,"$322,000","$596,076","$743,322","$840,056"
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES     ,3 ,"$320,000","$421,550","$463,000","$481,650"
BULLS HEAD               ,01 ONE FAMILY HOMES     ,52 ,"$200,000","$354,475","$340,000","$650,000"
BULLS HEAD               ,02 TWO FAMILY HOMES     ,24 ,"$225,000","$442,897","$447,500","$607,500"
CASTLETON CORNERS        ,01 ONE FAMILY HOMES     ,57 ,"$179,000","$416,878","$415,000","$775,000"
CASTLETON CORNERS        ,02 TWO FAMILY HOMES     ,16 ,"$305,000","$419,278","$442,974","$525,000"
CLOVE LAKES              ,01 ONE FAMILY HOMES     ,42 ,"$163,800","$465,212","$450,000","$910,000"
CLOVE LAKES              ,02 TWO FAMILY HOMES     ,3 ,"$398,000","$531,000","$530,000","$665,000"
CONCORD                  ,01 ONE FAMILY HOMES     ,34 ,"$151,000","$272,921","$262,500","$510,000"
CONCORD                  ,02 TWO FAMILY HOMES     ,16 ,"$171,000","$308,945","$304,935","$558,580"
CONCORD                  ,03 THREE FAMILY HOMES   ,1 ,"$250,000","$250,000","$250,000","$250,000"
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES     ,5 ,"$215,000","$303,845","$274,226","$393,000"
DONGAN HILLS             ,01 ONE FAMILY HOMES     ,30 ,"$317,000","$430,676","$400,000","$740,000"
DONGAN HILLS             ,02 TWO FAMILY HOMES     ,9 ,"$375,000","$542,776","$580,000","$680,000"
DONGAN HILLS             ,03 THREE FAMILY HOMES   ,1 ,"$650,000","$650,000","$650,000","$650,000"
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES     ,21 ,"$380,000","$830,034","$735,000","$2,400,000"
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES     ,4 ,"$615,000","$662,500","$670,000","$695,000"
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES     ,3 ,"$253,000","$310,765","$290,000","$389,295"
ELTINGVILLE              ,01 ONE FAMILY HOMES     ,98 ,"$164,772","$418,726","$412,500","$870,604"
ELTINGVILLE              ,02 TWO FAMILY HOMES     ,32 ,"$304,167","$554,876","$555,000","$794,235"
EMERSON HILL             ,01 ONE FAMILY HOMES     ,3 ,"$230,285","$618,428","$660,000","$965,000"
