NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        , 	48 ,"$208,000","$591,818","$516,000","$1,500,000"
ANNADALE                 ,02 TWO FAMILY HOMES                        , 	19 ,"$332,666","$727,020","$575,000","$3,000,000"
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        , 	158 ,"$175,000","$302,553","$294,500","$775,000"
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        , 	12 ,"$310,353","$466,457","$430,000","$739,758"
ARROCHAR                 ,01 ONE FAMILY HOMES                        , 	15 ,"$265,000","$434,956","$395,000","$700,000"
ARROCHAR                 ,02 TWO FAMILY HOMES                        , 	3 ,"$420,000","$610,000","$510,000","$900,000"
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        , 	5 ,"$365,000","$425,600","$390,000","$585,000"
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        , 	2 ,"$365,000","$373,500","$373,500","$382,000"
BULLS HEAD               ,01 ONE FAMILY HOMES                        , 	73 ,"$170,000","$333,123","$325,000","$471,500"
BULLS HEAD               ,02 TWO FAMILY HOMES                        , 	39 ,"$190,947","$435,070","$418,000","$670,000"
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        , 	64 ,"$185,000","$408,852","$410,000","$630,000"
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        , 	13 ,"$350,000","$519,854","$465,000","$1,090,000"
CLOVE LAKES              ,01 ONE FAMILY HOMES                        , 	30 ,"$221,000","$452,904","$427,750","$820,000"
CLOVE LAKES              ,02 TWO FAMILY HOMES                        , 	6 ,"$320,000","$468,619","$487,000","$629,000"
CONCORD                  ,01 ONE FAMILY HOMES                        , 	38 ,"$150,000","$266,305","$256,500","$463,753"
CONCORD                  ,02 TWO FAMILY HOMES                        , 	10 ,"$179,000","$338,691","$284,495","$650,000"
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        , 	10 ,"$175,000","$282,500","$267,500","$395,000"
DONGAN HILLS             ,01 ONE FAMILY HOMES                        , 	27 ,"$202,800","$573,663","$416,000","$4,000,000"
DONGAN HILLS             ,02 TWO FAMILY HOMES                        , 	15 ,"$235,500","$472,028","$465,000","$812,000"
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        , 	15 ,"$318,750","$678,998","$625,000","$1,225,000"
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        , 	3 ,"$225,000","$441,667","$450,000","$650,000"
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES                        , 	1 ,"$315,000","$315,000","$315,000","$315,000"
DONGAN HILLS-OLD TOWN    ,02 TWO FAMILY HOMES                        , 	1 ,"$245,000","$245,000","$245,000","$245,000"
ELTINGVILLE              ,01 ONE FAMILY HOMES                        , 	121 ,"$200,000","$409,956","$410,000","$875,000"
ELTINGVILLE              ,02 TWO FAMILY HOMES                        , 	32 ,"$240,000","$501,373","$494,950","$840,000"
EMERSON HILL             ,01 ONE FAMILY HOMES                        , 	3 ,"$350,000","$989,544","$798,000","$1,820,631"
GRANT CITY               ,01 ONE FAMILY HOMES                        , 	33 ,"$275,000","$395,304","$375,000","$580,000"
GRANT CITY               ,02 TWO FAMILY HOMES                        , 	15 ,"$331,000","$565,367","$595,000","$895,000"
GRANT CITY               ,03 THREE FAMILY HOMES                      , 	1 ,"$478,000","$478,000","$478,000","$478,000"
