NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES     ,68,"250,000","623,795","580,000","1,495,000"
ANNADALE                 ,02 TWO FAMILY HOMES     ,53,"350,000","722,930","735,000","1,200,000"
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES     ,173,"205,000","336,270","317,000","665,000"
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES     ,19,"247,000","498,502","490,000","789,143"
ARROCHAR                 ,01 ONE FAMILY HOMES     ,14,"366,000","469,920","457,500","730,000"
ARROCHAR                 ,02 TWO FAMILY HOMES     ,6,"420,000","525,850","472,550","690,000"
ARROCHAR                 ,03 THREE FAMILY HOMES   ,3,"390,000","504,167","560,000","562,500"
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES     ,4,"284,600","554,400","366,500","1,200,000"
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES     ,2,"310,000","367,000","367,000","424,000"
ARROCHAR-SHORE ACRES     ,03 THREE FAMILY HOMES   ,1,"420,000","420,000","420,000","420,000"
BULLS HEAD               ,01 ONE FAMILY HOMES     ,122,"220,000","408,510","395,000","639,600"
BULLS HEAD               ,02 TWO FAMILY HOMES     ,50,"275,000","473,223","465,000","753,505"
BULLS HEAD               ,03 THREE FAMILY HOMES   ,1,"299,000","299,000","299,000","299,000"
CASTLETON CORNERS        ,01 ONE FAMILY HOMES     ,81,"200,000","454,973","440,000","820,000"
CASTLETON CORNERS        ,02 TWO FAMILY HOMES     ,19,"350,000","518,144","510,000","733,000"
CASTLETON CORNERS        ,03 THREE FAMILY HOMES   ,1,"615,000","615,000","615,000","615,000"
CLOVE LAKES              ,01 ONE FAMILY HOMES     ,46,"310,000","521,033","478,500","1,230,000"
CLOVE LAKES              ,02 TWO FAMILY HOMES     ,3,"560,500","616,833","570,000","720,000"
CONCORD                  ,01 ONE FAMILY HOMES     ,31,"200,000","300,939","280,000","483,000"
CONCORD                  ,02 TWO FAMILY HOMES     ,14,"200,000","337,171","306,500","570,000"
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES     ,12,"200,000","300,596","278,500","475,000"
DONGAN HILLS             ,01 ONE FAMILY HOMES     ,32,"212,100","494,397","450,000","852,000"
DONGAN HILLS             ,02 TWO FAMILY HOMES     ,14,"375,000","559,713","552,500","763,688"
DONGAN HILLS             ,03 THREE FAMILY HOMES   ,3,"375,000","405,000","375,000","465,000"
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES     ,33,"300,000","749,576","700,000","1,325,000"
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES     ,6,"350,000","641,667","657,500","825,000"
DONGAN HILLS-COLONY      ,03 THREE FAMILY HOMES   ,4,"570,000","616,250","620,000","655,000"
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES     ,4,"304,000","479,010","436,020","740,000"
ELTINGVILLE              ,01 ONE FAMILY HOMES     ,171,"200,000","432,690","425,000","959,000"
ELTINGVILLE              ,02 TWO FAMILY HOMES     ,42,"249,950","567,402","544,000","950,000"
EMERSON HILL             ,01 ONE FAMILY HOMES     ,6,"640,000","1,259,089","938,750","3,012,035"
GRANT CITY               ,01 ONE FAMILY HOMES     ,49,"235,000","462,299","432,000","773,870"
GRANT CITY               ,02 TWO FAMILY HOMES     ,13,"222,000","580,792","610,000","804,417"
GRANT CITY               ,03 THREE FAMILY HOMES   ,1,"650,000","650,000","650,000","650,000"
GRASMERE                 ,01 ONE FAMILY HOMES     ,45,"210,603","532,977","498,000","999,999"
GRASMERE                 ,02 TWO FAMILY HOMES     ,4,"525,000","640,000","657,500","720,000"
GREAT KILLS              ,01 ONE FAMILY HOMES     ,283,"200,000","423,793","411,500","888,932"
GREAT KILLS              ,02 TWO FAMILY HOMES     ,73,"235,000","530,721","539,000","853,293"
GREAT KILLS              ,03 THREE FAMILY HOMES   ,1,"550,000","550,000","550,000","550,000"
GREAT KILLS-BAY TERRACE  ,01 ONE FAMILY HOMES     ,28,"302,500","451,296","442,000","675,388"
GREAT KILLS-BAY TERRACE  ,02 TWO FAMILY HOMES     ,4,"400,000","514,000","538,000","580,000"
GRYMES HILL              ,01 ONE FAMILY HOMES     ,19,"246,500","651,318","480,000","2,350,000"
GRYMES HILL              ,02 TWO FAMILY HOMES     ,6,"270,000","401,760","348,263","669,500"
HUGUENOT                 ,01 ONE FAMILY HOMES     ,62,"213,850","590,539","540,000","1,374,637"
HUGUENOT                 ,02 TWO FAMILY HOMES     ,27,"200,000","684,011","695,000","967,337"
LIVINGSTON               ,01 ONE FAMILY HOMES     ,18,"210,000","412,574","390,000","829,336"
