NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        ,111,"$250,000.00 ","$573,312.00 ","$495,000.00 ","$1,540,000.00 "
ANNADALE                 ,02 TWO FAMILY HOMES                        ,43,"$200,000.00 ","$711,431.00 ","$715,000.00 ","$1,300,000.00 "
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        ,294,"$151,999.00 ","$332,964.00 ","$320,000.00 ","$1,400,000.00 "
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        ,26,"$304,750.00 ","$545,092.00 ","$531,000.00 ","$957,155.00 "
ARROCHAR                 ,01 ONE FAMILY HOMES                        ,19,"$175,000.00 ","$438,456.00 ","$367,000.00 ","$940,000.00 "
ARROCHAR                 ,02 TWO FAMILY HOMES                        ,12,"$290,000.00 ","$506,042.00 ","$505,000.00 ","$665,000.00 "
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        ,9,"$300,000.00 ","$421,630.00 ","$360,000.00 ","$675,000.00 "
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        ,9,"$414,000.00 ","$548,726.00 ","$476,000.00 ","$800,000.00 "
BLOOMFIELD               ,02 TWO FAMILY HOMES                        ,1,"$1,600,000.00 ","$1,600,000.00 ","$1,600,000.00 ","$1,600,000.00 "
BULLS HEAD               ,01 ONE FAMILY HOMES                        ,144,"$183,500.00 ","$373,421.00 ","$366,541.00 ","$700,000.00 "
BULLS HEAD               ,02 TWO FAMILY HOMES                        ,80,"$156,356.00 ","$470,111.00 ","$450,000.00 ","$734,000.00 "
BULLS HEAD               ,03 THREE FAMILY HOMES                      ,5,"$375,000.00 ","$437,300.00 ","$410,000.00 ","$524,000.00 "
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        ,101,"$151,570.00 ","$441,898.00 ","$440,000.00 ","$837,500.00 "
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        ,24,"$200,000.00 ","$467,900.00 ","$477,000.00 ","$765,000.00 "
CLOVE LAKES              ,01 ONE FAMILY HOMES                        ,57,"$158,000.00 ","$494,924.00 ","$461,370.00 ","$985,000.00 "
CLOVE LAKES              ,02 TWO FAMILY HOMES                        ,13,"$163,500.00 ","$519,902.00 ","$544,763.00 ","$1,150,000.00 "
CONCORD                  ,01 ONE FAMILY HOMES                        ,112,"$150,000.00 ","$285,375.00 ","$271,475.00 ","$525,000.00 "
CONCORD                  ,02 TWO FAMILY HOMES                        ,26,"$292,500.00 ","$389,680.00 ","$378,150.00 ","$600,767.00 "
CONCORD                  ,03 THREE FAMILY HOMES                      ,1,"$306,000.00 ","$306,000.00 ","$306,000.00 ","$306,000.00 "
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        ,28,"$185,000.00 ","$278,215.00 ","$277,500.00 ","$428,000.00 "
DONGAN HILLS             ,01 ONE FAMILY HOMES                        ,54,"$300,000.00 ","$478,129.00 ","$435,000.00 ","$860,000.00 "
DONGAN HILLS             ,02 TWO FAMILY HOMES                        ,14,"$285,000.00 ","$579,464.00 ","$593,000.00 ","$715,000.00 "
DONGAN HILLS             ,03 THREE FAMILY HOMES                      ,1,"$499,000.00 ","$499,000.00 ","$499,000.00 ","$499,000.00 "
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        ,28,"$200,000.00 ","$762,250.00 ","$700,000.00 ","$1,450,000.00 "
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        ,5,"$445,000.00 ","$524,800.00 ","$511,500.00 ","$610,000.00 "
DONGAN HILLS-COLONY      ,03 THREE FAMILY HOMES                      ,2,"$560,000.00 ","$605,000.00 ","$605,000.00 ","$650,000.00 "
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES                        ,4,"$250,000.00 ","$366,228.00 ","$369,167.00 ","$476,580.00 "
DONGAN HILLS-OLD TOWN    ,02 TWO FAMILY HOMES                        ,3,"$250,000.00 ","$437,860.00 ","$529,000.00 ","$534,581.00 "
ELTINGVILLE              ,01 ONE FAMILY HOMES                        ,199,"$159,650.00 ","$450,687.00 ","$435,000.00 ","$925,000.00 "
ELTINGVILLE              ,02 TWO FAMILY HOMES                        ,52,"$175,300.00 ","$577,701.00 ","$572,500.00 ","$875,000.00 "
EMERSON HILL             ,01 ONE FAMILY HOMES                        ,10,"$387,500.00 ","$800,200.00 ","$866,250.00 ","$1,100,000.00 "
EMERSON HILL             ,02 TWO FAMILY HOMES                        ,1,"$665,000.00 ","$665,000.00 ","$665,000.00 ","$665,000.00 "
FRESH KILLS              ,01 ONE FAMILY HOMES                        ,1,"$410,000.00 ","$410,000.00 ","$410,000.00 ","$410,000.00 "
GRANT CITY               ,01 ONE FAMILY HOMES                        ,63,"$294,060.00 ","$454,744.00 ","$417,500.00 ","$900,000.00 "
GRANT CITY               ,02 TWO FAMILY HOMES                        ,17,"$300,000.00 ","$585,739.00 ","$560,000.00 ","$800,000.00 "
